1.525,Chlorobenzene,Liquid
1.44,Chloroform,Liquid
1.41,Decane,Liquid
1.41,Dodecane,Liquid
1.35,Ether,Liquid
1.43,Ethylene glycol,Liquid
1.523,Ethyl salicylate,Liquid
1.559,Ethyl cinnamate,Liquid
1.37,Trichlorofluoromethane refrigerant R-11,Liquid
1.29,Dichlorodifluoromethanerefrigerant R-12,Liquid
1.26,Chlorodifluoromethane refrigerant R-22,Liquid
1.47,Furan,Liquid
1.47,Glyserine (Glycerol),Liquid
1.38,Heptane,Liquid
1.37,Hexane,Liquid
1.538,Methyl salicylate,Liquid
1.737,Methylene iodine,Liquid
1.35,Milk,Liquid
1.4,Octane,Liquid
1.516,"Oil, cedar",Liquid
1.47,"Oil, vegetable 50oC",Liquid
1.46,"Oil, oiive",Liquid
1.47,"Oil, turpentine",Liquid
1.405,Paraldehyde,Liquid
1.48,"Parafin, liquid",Liquid
1.34,Propane,Liquid
1.36,Propylene,Liquid
1.43,Propylene glycol,Liquid
1.627,Quinoline,Liquid
1.497,Toluene,Liquid
1.47,Turpentine (wood),Liquid
1.333,Water,Liquid
1.5 - 1.62,Crown glass,Solid
2.417,Diamond,Solid
1.57 - 1.75,Flint glass,Solid
1.31,Ice,Solid
1.49,Plexiglas,Solid
1.52,Salt,Solid
1.48 - 1.50,Acrylic,Polymer
1.46 - 1.50,Celulose Acetat,Polymer
1.6,Epoxy,Polymer
1.5,HDPE,Polymer
1.59,Polycarbonate,Polymer
1.35,PTFE,Polymer
1.50 - 1.58,Polyester,Polymer
1.6,Polystyrene,Polymer
1.6 - 1.63,Vinylidene chloride,Polymer
1.000036,Helium,Gas
1.000132,Hydrogen,Gas
1.000277,Air,Gas
1.000293,Air,Gas
1.001,Carbon Dioxide,Gas
1.025,Liquid Helium,Liquid
1.31,Water Ice,Solid
1.33,Water,Liquid
1.36,Acetone,Liquid
1.361,Ethanol,Liquid
1.39,Kerosene,Liquid
1.47,Corn Oil,Liquid
1.4729,Glycerol,Liquid
1.490–1.492,Acrylic Glass,Solid
1.501,Benzene,Liquid
1.50–1.54,Crown Glass (pure),Solid
1.52,Plate Glass (window glass),Solid
1.544,Sodium Chloride (table salt),Solid
1.55,Amber,Solid
1.6,Polycabonate,Solid
1.60–1.62,Flint Glass (pure),Solid
1.661,Bromine,Liquid
1.762–1.778,Sapphire,Solid
2.15–2.18,Cubic Zirconia,Solid
2.417,Diamond,Solid
3.42–3.48,Silicon,Solid
4.05–4.01,Germanium,Solid
